Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
18384,Flow: Urban Dance Uprising,PS2,Ubisoft,Artificial Mind and Movement,,,,,0.02m,0.01m,,0.00m,0.04m,15th Nov 05,,Misc
18385,100 Classic Games,DS,Rondomedia,Easy Interactive,,,,,,0.03m,,0.00m,0.04m,08th Apr 11,,Misc
18386,True Pinball,PS,Acclaim Entertainment,Digital Illusions,,,,,0.02m,0.01m,,0.00m,0.04m,01st Sep 96,,Misc
18387,Stadium Games,GBA,Ignition Entertainment,Awesome Developments,,,,,0.03m,0.01m,,0.00m,0.04m,03rd Nov 04,,Sports
18388,Super Hero Generation,PS3,Namco Bandai Games,Tom Create,,,,,,,0.04m,,0.04m,23rd Oct 14,10th Jun 18,Role-Playing
18389,Jane's Hotel,DS,Zoo Games,Zoo Games,,,,,0.03m,,,0.00m,0.04m,04th May 10,,Simulation
18390,Spellbreaker,PC,Infocom,"Infocom, Inc.",,,,0.04m,,,,,,01st Jan 85,,Adventure
18391,J-League Pro Striker 2,GEN,Sega,Sega,,,,,,,0.04m,,0.04m,15th Jul 94,,Sports
18392,Power Play Pool,DS,Conspiracy Entertainment,System 3,,,,,0.03m,0.00m,,0.00m,0.04m,26th Oct 07,,Sports
18393,RLH: Run Like Hell,XB,Interplay,Digital Mayhem,,,,,0.03m,0.01m,,0.00m,0.04m,09th Apr 03,,Shooter
18394,VR Karts,PS4,Perp Games,Unknown,,,,,0.03m,,,0.01m,0.04m,28th Nov 17,,Racing
18395,Obscure,XB,DreamCatcher Interactive,Hydravision Entertainment,,,,,0.03m,0.01m,,0.00m,0.04m,06th Apr 05,,Adventure
18396,Mahjong Taikai,DS,KOEI,Koei,,,,,,,0.04m,,0.04m,02nd Dec 04,,Misc
18397,Super Robot Taisen: Scramble Commander the 2nd,PS2,Banpresto,Banpresto,,,,,,,0.04m,,0.04m,01st Nov 07,,Strategy
18398,Scribblenauts: Showdown,XOne,Warner Bros. Interactive,Shiver Games,,,,,0.03m,,,0.00m,0.04m,06th Mar 18,03rd Apr 18,Platform
18399,Espgaluda II Black Label,X360,Cave,Cave,,,,,,,0.04m,,0.04m,25th Feb 10,,Shooter
18400,Kisuato,PSV,TGL,TGL,,,,,,,0.04m,,0.04m,26th Nov 15,22nd Sep 18,Adventure
